question,answer
Como posso manter conexões sociais? E se eu me sentir solitário?,"Muitas pessoas estão sozinhas agora, mas não precisamos ficar sozinhas. Estamos juntos nessa. As conexões sociais são uma oportunidade de buscar e compartilhar apoio, conversar sobre sentimentos difíceis, compartilhar uma risada, manter-se atualizado com os entes queridos e ajudar uns aos outros a lidar. Pense nas diferentes maneiras de se conectar que são mais significativas para você. Por exemplo, você pode preferir um bate-papo por vídeo em vez de uma chamada telefônica ou pode preferir enviar mensagens de texto ao longo do dia em vez de um horário definido para uma chamada de vídeo. A qualidade de suas conexões sociais é importante. Percorrer as mídias sociais sem pensar e curtir algumas postagens geralmente não cria conexões sociais fortes. Certifique-se de se concentrar em estratégias que realmente fazem você se sentir incluído e conectado. Se suas estratégias atuais não ajudarem você a se sentir conectado, resolva o problema para ver se consegue encontrar uma solução. Todo mundo se sente solitário às vezes – talvez você tenha se mudado recentemente para uma nova cidade, esteja mudando seu círculo de amigos, tenha perdido alguém importante em sua vida ou perdido seu emprego e também perdeu importantes conexões sociais com colegas de trabalho. Outras pessoas podem ter conexões físicas com outras, mas podem sentir que suas necessidades emocionais ou sociais não são atendidas. Estenda a mão para as conexões que você tem. Procure grupos de apoio da comunidade local e grupos de ajuda mútua nas mídias sociais. Procure grupos de apoio especializados. Os grupos de suporte estão se movendo online e há muitas linhas de suporte diferentes para ligar se você precisar falar com alguém."
Cuidar da minha saúde física,"Cuidar da saúde física também é bom para a saúde mental. É mais importante do que nunca manter-se saudável. Tente comer o melhor que puder. Pode ser mais fácil buscar alimentos e lanches menos saudáveis ​​enquanto você passa mais tempo em casa, mas tente manter uma abordagem equilibrada. Quando você faz um estoque de mantimentos, não ignore frutas e vegetais frescos – ainda temos tudo o que precisamos para preparar os alimentos. O exercício é uma parte importante da saúde mental e bem-estar, controle do estresse e sono saudável. No entanto, é algo que muitas pessoas desistem quando começam a se sentir estressadas ou sobrecarregadas. Se você prefere se exercitar em ambientes fechados, também pode encontrar várias aulas de exercícios online. Você pode tentar ioga, seguir uma aula de barra e trabalhar em seu cardio. Procure rotinas ou aulas de exercícios sem equipamento, se você ainda não tiver equipamento. Dormir mal pode fazer com que até problemas simples pareçam muito piores do que realmente são. O sono ruim pode afetar seu humor, sua perspectiva e sua paciência. Infelizmente, o estresse e a ansiedade podem realmente prejudicar seu sono. Se você está tendo dificuldade para dormir, seja proativo e pratique hábitos de sono saudáveis. "
Como posso usar a distração para gerenciar pensamentos ou sentimentos difíceis?,"A distração é uma ferramenta muito válida para ajudá-lo a lidar quando tudo parece esmagador ou quando você se sente solitário ou isolado. Se você não tiver muita energia ou foco agora, tente distrações de baixo esforço, como assistir TV, navegar no Youtube, ouvir um podcast ou audiolivro, jogar um jogo no telefone, ler um livro ou revista fácil ou trabalhar em um projeto de arte simples. Se você tem mais energia e foco, faça uma lista de tarefas todos os dias: você pode limpar e cuidar de projetos em sua casa, trabalhar em hobbies, conectar-se com a família ou amigos, ler um novo livro e colocar o seu favorito em dia Programas de televisão. Quando os horários normais são interrompidos, é fácil cair em hábitos inúteis. Procure maneiras de manter-se no caminho certo com hábitos mais saudáveis."
Gerenciar o luto,"Enquanto muitas pessoas pensam no luto em termos de perder uma pessoa ou animal de estimação, o luto pode surgir sempre que você perde algo importante. O luto traz à tona sentimentos complicados. Você pode se sentir triste, com raiva, frustrado, com medo ou sem esperança. Você pode ter dificuldade em comer ou dormir, ou se sentir muito tenso. Você pode se sentir sobrecarregado e cansado. Você pode se perguntar se a vida voltará a ser normal novamente. Cada um sofre à sua maneira e no seu próprio tempo. Aqui estão algumas estratégias para tentar enquanto você navega em sua própria jornada. Reconheça e expresse seus sentimentos de forma saudável. Dê um nome aos seus sentimentos e encontre maneiras saudáveis ​​de expressá-los, como conversando com um amigo, escrevendo em um diário ou fazendo arte. Dê a si mesmo o tempo que precisar. O luto segue seu próprio cronograma. Dê a si mesmo permissão para usar esse tempo para cuidar do seu bem-estar. Deixe de lado as expectativas, tarefas ou outras obrigações que podem esperar. Busque apoio. O luto pode parecer muito isolante, mesmo que muitas pessoas estejam passando por algum tipo de perda agora. Entre em contato com amigos ou familiares e compartilhe seus sentimentos. Procure maneiras de ajudar e apoiar uns aos outros. Se cuida. Ignorar a saúde e o bem-estar pode piorar as experiências difíceis. Coma o melhor que puder, tente dormir o suficiente, passe algum tempo ao ar livre se for seguro para você fazê-lo e exercite-se regularmente. Pense em atividades de autocuidado ou estratégias que o ajudaram a lidar com situações desafiadoras no passado e reserve tempo para essas atividades. Conecte-se com um profissional de saúde mental se estiver com dificuldades. Se você está tendo dificuldade em passar o dia, lidando de maneira não saudável ou tendo dificuldade em gerenciar pensamentos ou sentimentos difíceis, é uma boa ideia procurar ajuda de um profissional como um psicólogo ou conselheiro."
Diferença entre antidepressivos,"Existem muitos tipos diferentes de medicamentos antidepressivos, e cada um deles funciona de maneiras diferentes. Os antidepressivos são divididos em “classes” com base no que fazem e em quais mensageiros químicos no cérebro (chamados neurotransmissores) eles influenciam. Cada classe pode conter vários medicamentos diferentes, cada um com formas de trabalho ligeiramente diferentes.  Os antidepressivos não são usados ​​apenas para tratar a depressão – eles podem ser prescritos para tratar outras doenças, como transtornos de ansiedade. Apenas médicos ou psiquiatras podem prescrever antidepressivos. Se o seu médico recomendar que você considere antidepressivos, lembre-se de que a maioria das pessoas precisa experimentar algumas opções diferentes antes de encontrar a medicação certa. Pode ser um processo frustrante, especialmente quando você se sente mal, mas é importante encontrar algo que funcione para você! Os efeitos colaterais e os benefícios podem variar significativamente entre pessoas diferentes, e é difícil prever como um medicamento pode funcionar sem experimentá-lo primeiro. Todo mundo responde a eles de forma diferente. É muito importante ter discussões contínuas com sua equipe de saúde sobre sua medicação para que você possa trazer quaisquer problemas ou preocupações – ou até mesmo perguntar mais sobre como seu antidepressivo específico funciona."
Fazer quando uma pessoa parece doente e não encontrará ajuda,"É difícil quando um filho adulto, irmão, pai, amigo, colega de trabalho ou outra pessoa importante está lutando ou se comportando de maneira que está causando danos. Há dois pontos importantes para se pensar. Primeiro, diagnosticar uma condição de saúde, especialmente quando a verificação de sintomas é tão fácil online, pode ser perigoso. O diagnóstico ainda é sempre melhor deixar para os profissionais que podem ver o quadro inteiro. Lembre-se também de que a pessoa com quem você se importa pode ter uma ideia muito diferente do que está causando suas dificuldades e quais são os impactos negativos em sua vida. Em segundo lugar, exceto em casos raros, a pessoa que está sendo tratada precisa ser um participante ativo em sua própria recuperação para continuar com seu tratamento, assim como faria para qualquer outro problema de saúde. Seja honesto sobre suas preocupações, os impactos que você está vendo que o preocupam, ouça o ponto de vista deles e trabalhe em conjunto para encontrar uma solução que funcione para todos, mesmo que isso signifique um compromisso. Você pode se oferecer para acompanhá-los a uma consulta, incentivá-los a fazer um autoteste de triagem on-line ou envolver alguém próximo a eles que possa estar igualmente preocupado e possa ter mais influência para incentivá-los a perceber mudanças e procurar ajuda . Como você pode estar se sentindo frustrado e desamparado, é importante obter cuidados e apoio para si mesmo durante esse período, especialmente se estiver muito próximo da pessoa com quem está preocupado."
Ajudar um filho ou adolescente com problemas de saúde mental,"Pode ser difícil descobrir o que fazer se você estiver preocupado com um jovem em sua família. Se o seu filho necessitar de serviços mais especializados, como serviços de psiquiatria, o seu médico de família deve fazer um encaminhamento para o seu filho. Muitos médicos de família também podem recomendar serviços ou apoios comunitários na sua comunidade. Se as dificuldades de seu filho afetarem seu desempenho ou comportamento na escola, a escola pode estar envolvida. Se a escola do seu filho tiver um conselheiro, converse com ele sobre os serviços que você pode acessar através da escola."
Tenho pensamentos suicidas ou alguém com quem me importo está falando sobre suicídio. O que devo fazer?,"Se você precisar falar com alguém ou não tiver certeza de como ajudar alguém de quem gosta, Se você corre o risco de se machucar ou acha que outra pessoa está em perigo e precisa de ajuda agora, ligue para o 190. É assustador ter pensamentos suicidas ou ouvir que alguém com quem você se importa tem pensamentos suicidas. Pensamentos de suicídio não significam que alguém vai acabar com sua vida, mas é um sinal de que eles precisam de ajuda ou apoio extra. Se você tiver pensamentos de suicídio, é importante conversar com seu médico ou provedor de serviços de saúde mental. Se você está apoiando outra pessoa, incentive-a a procurar ajuda. Lidar com Pensamentos Suicidas é um bom recurso para ajudá-lo a entender e gerenciar sentimentos difíceis."
Diferença entre saúde mental e doença mental,"“Saúde mental” e “doença mental” estão sendo cada vez mais usados ​​como se significassem a mesma coisa, mas não significam. Todo mundo tem saúde mental, assim como todo mundo tem saúde. Como a Organização Mundial da Saúde disse: “Não há saúde sem saúde mental”. No curso de uma vida, nem todas as pessoas experimentarão uma doença mental, mas todos terão dificuldades ou desafios com seu bem-estar mental (ou seja, sua saúde mental), assim como todos nós temos desafios com nosso bem-estar físico desde tempo ao tempo. Quando falamos sobre saúde mental, estamos falando sobre nosso bem-estar mental: nossas emoções, nossos pensamentos e sentimentos, nossa capacidade de resolver problemas e superar dificuldades, nossas conexões sociais e nossa compreensão do mundo ao nosso redor. Uma doença mental é uma doença que afeta a maneira como as pessoas pensam, sentem, se comportam ou interagem com os outros. Existem muitas doenças mentais diferentes, e elas têm sintomas diferentes que afetam a vida das pessoas de maneiras diferentes. Todos nós temos dias em que nos sentimos um pouco deprimidos, estressados ​​ou sobrecarregados por algo que está acontecendo em nossas vidas. Uma parte importante da boa saúde mental é a capacidade de olhar para os problemas ou preocupações de forma realista. Uma boa saúde mental não é se sentir feliz e confiante 100% do tempo e ignorar quaisquer problemas. Trata-se de viver e lidar bem, apesar dos problemas."
Diferença entre ansiedade e transtorno de ansiedade,"A ansiedade é uma reação normal a muitos tipos diferentes de eventos e situações em nossas vidas. A ansiedade é um dos nossos sistemas internos de alerta que nos alerta para o perigo ou outras ameaças e prepara nossos corpos para revidar ou sair de uma situação perigosa. Uma quantidade gerenciável de ansiedade de tempos em tempos pode ser útil. Por exemplo, pode motivá-lo a se preparar para um teste na escola ou terminar uma tarefa no trabalho. Mesmo eventos felizes, como mudar para uma nova casa ou comemorar um marco importante, podem trazer ansiedade – tudo isso faz parte do ser humano. A ansiedade é um problema quando se torna esmagadora ou incontrolável e surge inesperadamente. Os transtornos de ansiedade são doenças mentais que têm um grande impacto na sua vida. As pessoas podem evitar seguir suas vidas diárias para evitar a ansiedade. Eles podem experimentar muitas sensações físicas desconfortáveis ​​e problemas de saúde física. Muitas pessoas dizem que sabem que sua ansiedade não é baseada na realidade, mas se sentem “presas” por seus pensamentos e sentimentos. Os transtornos de ansiedade podem ser tratados. É importante procurar ajuda se você estiver preocupado com a ansiedade em sua vida."
Diferença entre ansiedade e estresse,"Estresse e ansiedade são frequentemente usados de forma intercambiável, e há sobreposição entre estresse e ansiedade. O estresse está relacionado à mesma resposta de “luta, fuga ou congelamento” que a ansiedade, e as sensações físicas de ansiedade e estresse podem ser muito semelhantes. A causa do estresse e da ansiedade são geralmente diferentes, no entanto. O estresse se concentra principalmente nas pressões externas sobre nós, com as quais achamos difícil lidar. Quando estamos estressados, geralmente sabemos com o que estamos estressados, e os sintomas do estresse geralmente desaparecem após o término da situação estressante. A ansiedade, por outro lado, nem sempre é tão fácil de descobrir. A ansiedade se concentra em preocupações ou medos sobre coisas que podem nos ameaçar, bem como ansiedade sobre a própria ansiedade. Estresse e ansiedade fazem parte do ser humano, mas ambos podem ser problemas se durarem muito tempo ou tiverem impacto em nosso bem-estar ou vida diária."
Diferença entre tristeza e depressão,"A tristeza é uma reação normal a uma perda, decepção, problemas ou outras situações difíceis. Sentir-se triste de vez em quando é apenas outra parte do ser humano. Nesses casos, os sentimentos de tristeza desaparecem rapidamente e você pode seguir sua vida diária. Outras maneiras de falar sobre a tristeza podem ser 'sentir-se para baixo', 'sentir-se para baixo' ou 'sentir-se triste'. em grande medida, provavelmente não é a doença da depressão. A depressão é uma doença mental que afeta seu humor, a maneira como você se entende e a maneira como você entende e se relaciona com as coisas ao seu redor. Também pode ter nomes diferentes, como depressão clínica, transtorno depressivo maior ou depressão maior. A depressão pode surgir sem motivo e dura muito tempo. É muito mais do que tristeza ou mau humor. As pessoas que sofrem de depressão podem se sentir inúteis ou sem esperança. Eles podem se sentir culpados irracionalmente. Algumas pessoas podem experimentar a depressão como raiva ou irritabilidade. Pode ser difícil se concentrar ou tomar decisões. A maioria das pessoas perde o interesse em coisas que costumavam gostar e pode se isolar dos outros. Há também sinais físicos de depressão, como problemas de sono, apetite e energia e dores inexplicáveis. Alguns podem ter pensamentos difíceis sobre a morte ou o fim da vida (suicídio). A depressão dura mais de duas semanas, geralmente não desaparece sozinha e afeta sua vida. É uma doença real, e é muito tratável. É importante procurar ajuda se estiver preocupado com a depressão."
Distimia ou transtorno depressivo persistente (TDP),"A distimia, agora chamada de transtorno depressivo persistente ou TDP, é um transtorno de humor. É depressão relacionada (transtorno depressivo maior). A diferença entre os dois está no número de sintomas e na quantidade de tempo que eles duram. Alguém diagnosticado com TDP experimentaria de dois a quatro dos sintomas abaixo por pelo menos dois anos sem períodos de bem-estar durante esse período, enquanto alguém diagnosticado com transtorno depressivo maior experimentaria cinco ou mais dos sintomas abaixo por pelo menos duas semanas. O TDP envolve um número menor de sintomas que duram muito tempo, muitas pessoas começam a supor que o TDP é apenas parte de sua personalidade, e não uma doença que pode ser tratada com eficácia. Portanto, você certamente deve conversar com um médico ou profissional de saúde mental se achar que pode ter TDP."
Transtorno ciclotímico,"O transtorno ciclotímico é um subtipo do transtorno bipolar. Assim como o transtorno bipolar, os sintomas da ciclotimia incluem três ou mais sintomas de hipomania e cinco ou mais sintomas de depressão. Como o transtorno bipolar, as pessoas podem experimentar bem-estar entre episódios de hipomania e depressão. Os sintomas da hipomania incluem, converse com um médico ou profissional de saúde mental se achar que pode ter transtorno ciclotímico."
Transtorno de personalidade de borderline,"O transtorno de personalidade borderline ou TPB é uma doença tratável. É composto por cinco grupos de sintomas em torno de comportamentos, emoções, relacionamentos, senso de identidade e consciência."
Transtorno de personalidade esquizóide,"Um transtorno de personalidade é um padrão de pensamentos, sentimentos e comportamentos que duram muito tempo e causam algum tipo de problema ou angústia. O transtorno de personalidade esquizóide ou TPE afeta as interações e relacionamentos sociais. Pessoas com TPE podem ter dificuldade em se relacionar com os outros e mostrar emoções. Eles podem evitar relacionamentos íntimos e preferem passar o tempo sozinhos, parecendo distantes até mesmo para familiares próximos. Muitas pessoas não respondem a emoções fortes como raiva, mesmo quando outras tentam provocá-las. Do lado de fora, as pessoas com TPE podem parecer frias ou indiferentes, mostrando pouca emoção. Embora tenham um nome semelhante, o transtorno de personalidade esquizóide não é o mesmo que a esquizofrenia. Acredita-se que o transtorno de personalidade esquizóide seja relativamente incomum. Enquanto algumas pessoas com TPE podem vê-lo como parte de quem são, outras pessoas podem sentir muita angústia, especialmente em torno das interações sociais. Alguns medicamentos podem ajudar as pessoas a controlar os sintomas e a psicoterapia pode ajudar as pessoas a desenvolver novas habilidades e melhorar os relacionamentos."
Transtorno de personalidade antissocial,"Um transtorno de personalidade é um padrão de pensamentos, sentimentos e comportamentos que duram muito tempo e causam algum tipo de problema ou angústia. O transtorno de personalidade antissocial ou TPAS afeta a maneira como as pessoas pensam sobre os direitos dos outros. Alguém com TPAS pode desrespeitar as leis ou expectativas, não sentir remorso quando machucar os outros ou infringir a lei, tomar decisões imprudentes e acreditar que é superior aos outros. As pessoas podem ver alguém com TPAS como excessivamente dramático, impulsivo, manipulador e enganador. Algumas pessoas podem parecer encantadoras, pelo menos na superfície. Como todas as doenças mentais, o transtorno de personalidade antissocial é um espectro. Algumas pessoas podem agir apenas ocasionalmente, enquanto outras podem infringir a lei com frequência e passar muito tempo no sistema de justiça criminal. A TPAS é diagnosticada apenas em adultos, mas as pessoas com TPAS começam a ter problemas de conduta ou comportamentos antissociais em tenra idade. Eles podem ser diagnosticados com transtorno de conduta durante a infância. O tratamento para o transtorno de personalidade antissocial, geralmente psicoterapia, pode ajudar a reduzir os danos do TPAS e ajudar as pessoas a criar empatia em relação aos outros. TPAS é tratável e pode melhorar à medida que a pessoa se aproxima da meia-idade. Todos nós magoamos alguém ou agimos sem pensar na necessidade dos outros. É importante lembrar que o transtorno de personalidade antissocial é um padrão duradouro em torno da falta de empatia e falta de remorso. Apenas um médico ou profissional de saúde mental pode diagnosticar doenças como TPAS."
Transtorno de compulsão alimentar,"O transtorno da compulsão alimentar periódica ou TCAP é um tipo de transtorno alimentar. Envolve episódios de comer muita comida em um curto período de tempo, além do ponto de sentir-se cheio e sentimentos de estar fora de controle ou incapaz de parar de comer. As pessoas que sofrem de transtorno de compulsão alimentar podem comer compulsivamente mesmo quando não sentem fome. Eles podem se sentir temporariamente confortados pela comida e depois se sentirem deprimidos, chateados, culpados ou envergonhados por comerem. Como resultado, muitas pessoas tentam manter os sintomas da compulsão alimentar em segredo. Você não pode dizer se alguém experimenta transtorno de compulsão alimentar apenas pela aparência ou pela maneira como comem perto de outras pessoas. Enquanto muitas pessoas têm a experiência de comer demais algumas vezes e se sentirem desconfortáveis ​​depois, as pessoas que sofrem de transtorno de compulsão alimentar experimentam muitas compulsões por um longo período de tempo. O transtorno da compulsão alimentar periódica é tratável. Converse com seu médico ou um profissional de saúde mental se achar que pode ter transtorno de compulsão alimentar."
Diferença entre transtorno dissociativo de identidade (transtorno de personalidade múltipla) e esquizofrenia,"Às vezes, as pessoas confundem transtorno dissociativo de identidade, anteriormente conhecido como transtorno de personalidade múltipla, e esquizofrenia. Esquizofrenia significa “mente dividida”, mas o nome foi feito para descrever a “divisão” da realidade que você experimenta durante um episódio de psicose, bem como mudanças nos pensamentos, emoções e outras funções. O transtorno dissociativo de identidade, por outro lado, causa uma compreensão dividida ou fragmentada do senso de uma pessoa sobre si mesma. O transtorno dissociativo de identidade é realmente mais sobre identidades fragmentadas do que muitas personalidades diferentes que se desenvolvem por conta própria. A maioria das pessoas vê diferentes partes de seu ser como parte da pessoa como um todo. Para pessoas que vivenciam TDI, fragmentos de identidade podem ter características muito diferentes, incluindo sua própria história, identidade e maneirismos. Uma parte fundamental do TDI é a dissociação – sentir-se desapegado do mundo ao seu redor. As pessoas que experimentam TDI podem ter muitas lacunas inexplicáveis ​​em sua memória, esquecer informações que já aprenderam ou ter dificuldade em lembrar de coisas que disseram ou fizeram. Ao contrário dos retratos de TID na TV ou em filmes, TID pode não ser óbvio para os outros e pode levar muito tempo para chegar ao diagnóstico. A esquizofrenia é uma doença mental grave que causa alucinações (sensações que não são reais) e delírios (crenças que não podem ser verdadeiras, além de outros sintomas como pensamentos confusos, fala confusa e dificuldades para expressar emoções. Pessoas que sofrem de esquizofrenia pode ouvir ou sentir coisas que não são reais ou acreditar em coisas que não podem ser reais, mas essas não são identidades separadas."
Diferença entre psicose e esquizofrenia,"A psicose é uma síndrome ou grupo de sintomas. Alguém passando por um episódio de psicose está tendo uma “ruptura” com a realidade. Os principais sintomas da psicose são alucinações e delírios. Alucinações são sensações que não são reais, como ouvir vozes ou sons que não são reais. Ouvir vozes é uma alucinação comum, mas as alucinações podem ser experiências com qualquer sentido – audição, visão, olfato, paladar ou tato. Delírios são crenças fortes que não podem ser verdadeiras. Delírios comuns incluem a crença de que alguém está seguindo ou monitorando você, ou a crença de que você tem poderes ou habilidades extraordinárias. Outros sintomas de psicose incluem dificuldades de concentração, completar tarefas ou tomar decisões. Os pensamentos podem parecer “embaralhados” ou confusos. Algumas pessoas têm dificuldade em seguir conversas ou falar claramente. A psicose pode até afetar a maneira como as pessoas se movem ou expressam suas emoções. A esquizofrenia é uma doença mental que causa psicose, mas a esquizofrenia também tem outros sintomas. E não é a única causa de psicose. Em alguns casos, outras doenças mentais causam psicose, incluindo depressão, transtorno bipolar, demência e transtorno de personalidade limítrofe. A psicose pode surgir durante períodos de estresse extremo, grande falta de sono ou trauma. As pessoas que estão usando ou se abstendo de certas drogas ou medicamentos podem apresentar psicose. A psicose também pode ser causada por uma lesão cerebral, problema neurológico ou outro problema de saúde. Portanto, embora a psicose possa fazer parte da esquizofrenia, ela também pode ser causada por muitas outras coisas."
Adulto e posso ter TDAH.,"Embora pensemos no transtorno de déficit de atenção/hiperatividade como uma doença que afeta crianças, ele pode durar até a idade adulta – e algumas pessoas não são diagnosticadas até muito mais tarde na vida. O TDAH é diagnosticado como qualquer outra doença mental. Um médico deve avaliar sua saúde mental e iniciar o tratamento, se necessário, ou pode encaminhá-lo para serviços de saúde mental mais especializados. "
